"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Applied Ontology","APPL ONTOL","IOS PRESS","1570-5838","1875-8533","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","306","3.5","Q2","0.57","7.14"%,
"CONNECTION SCIENCE","CONNECT SCI","TAYLOR & FRANCIS LTD","0954-0091","1360-0494","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,533","3.4","Q2","0.85","98.33"%,
"EVOLUTIONARY COMPUTATION","EVOL COMPUT","MIT PRESS","1063-6560","1530-9304","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,065","3.4","Q2","0.77","7.55"%,
"International Journal of Software Science and Computational Intelligence-IJSSCI","INT J SOFTW SCI COMP","IGI GLOBAL","1942-9045","1942-9037","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","290","3.4","Q2","0.73","20"%,
"COMPUTER SPEECH AND LANGUAGE","COMPUT SPEECH LANG","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0885-2308","1095-8363","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,590","3.4","Q2","0.64","20.8"%,
"MINDS AND MACHINES","MIND MACH","SPRINGER","0924-6495","1572-8641","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,288","3.4","Q2","0.64","76.32"%,
"JOURNAL OF INTELLIGENT INFORMATION SYSTEMS","J INTELL INF SYST","SPRINGER","0925-9902","1573-7675","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,655","3.4","Q2","0.59","25.91"%,
"PATTERN RECOGNITION LETTERS","PATTERN RECOGN LETT","ELSEVIER","0167-8655","1872-7344","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","16,356","3.3","Q2","0.68","13.46"%,
"AI MAGAZINE","AI MAG","AMER ASSOC ARTIFICIAL INTELL","0738-4602","2371-9621","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,157","3.2","Q2","0.39","89.06"%,
"Artificial Intelligence and Law","ARTIF INTELL LAW","SPRINGER","0924-8463","1572-8382","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","895","3.1","Q2","1.69","47.41"%,
"Journal of Web Semantics","J WEB SEMANT","ELSEVIER","1570-8268","1873-7749","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,043","3.1","Q2","0.66","45.33"%,
"KNOWLEDGE AND INFORMATION SYSTEMS","KNOWL INF SYST","SPRINGER LONDON LTD","0219-1377","0219-3116","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,235","3.1","Q2","0.56","15.86"%,
"Journal of Real-Time Image Processing","J REAL-TIME IMAGE PR","SPRINGER HEIDELBERG","1861-8200","1861-8219","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,038","3","Q2","0.63","9.81"%,
"International Journal of Computational Intelligence Systems","INT J COMPUT INT SYS","SPRINGERNATURE","1875-6891","1875-6883","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,744","3","Q2","0.59","99.66"%,
"INTERNATIONAL JOURNAL OF APPROXIMATE REASONING","INT J APPROX REASON","ELSEVIER SCIENCE INC","0888-613X","1873-4731","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,074","3","Q2","0.55","25.79"%,
"Semantic Web","SEMANT WEB","IOS PRESS","1570-0844","2210-4968","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,575","2.9","Q2","0.68","98.71"%,
